ID,Type,Status,URL,Notes
17114,Project,In URL file but missing from API,https://mininghub.com/project/jessica/17114,URL exists but project not found in API response
8493,Project,In URL file but missing from API,https://mininghub.com/project/pajingo/8493,URL exists but project not found in API response
16997,Project,In URL file but missing from API,https://mininghub.com/project/el-payo/16997,URL exists but project not found in API response
7675,Project,In URL file but missing from API,https://mininghub.com/project/bluebush/7675,URL exists but project not found in API response
8577,Project,In URL file but missing from API,https://mininghub.com/project/good-setting/8577,URL exists but project not found in API response
16414,Project,In URL file but missing from API,https://mininghub.com/project/mount-isa/16414,URL exists but project not found in API response
16162,Project,In URL file but missing from API,https://mininghub.com/project/ignace/16162,URL exists but project not found in API response
16387,Project,In URL file but missing from API,https://mininghub.com/project/wisemans-creek/16387,URL exists but project not found in API response
8501,Project,In URL file but missing from API,https://mininghub.com/project/nyngan-south/8501,URL exists but project not found in API response
7149,Project,In URL file but missing from API,https://mininghub.com/project/cyclone/7149,URL exists but project not found in API response
15829,Project,In URL file but missing from API,https://mininghub.com/project/kukuna/15829,URL exists but project not found in API response
6500,Project,In URL file but missing from API,https://mininghub.com/project/serindac-lake/6500,URL exists but project not found in API response
2941,Project,In URL file but missing from API,https://mininghub.com/project/samapleu/2941,URL exists but project not found in API response
17021,Project,In URL file but missing from API,https://mininghub.com/project/bramall-hills/17021,URL exists but project not found in API response
15940,Project,In URL file but missing from API,https://mininghub.com/project/four-eagles/15940,URL exists but project not found in API response
15684,Project,In URL file but missing from API,https://mininghub.com/project/bluff/15684,URL exists but project not found in API response
7451,Project,In URL file but missing from API,https://mininghub.com/project/adam-range/7451,URL exists but project not found in API response
3125,Project,In URL file but missing from API,https://mininghub.com/project/tonto-del-pueblo/3125,URL exists but project not found in API response
15727,Project,In URL file but missing from API,https://mininghub.com/project/treasure-creek/15727,URL exists but project not found in API response
16522,Project,In URL file but missing from API,https://mininghub.com/project/pyramid/16522,URL exists but project not found in API response
17377,Project,In URL file but missing from API,https://mininghub.com/project/bigfoot/17377,URL exists but project not found in API response
6742,Project,In URL file but missing from API,https://mininghub.com/project/mount-monger/6742,URL exists but project not found in API response
8646,Project,In URL file but missing from API,https://mininghub.com/project/root/8646,URL exists but project not found in API response
8842,Project,In URL file but missing from API,https://mininghub.com/project/horetzky/8842,URL exists but project not found in API response
7824,Project,In URL file but missing from API,https://mininghub.com/project/kambale/7824,URL exists but project not found in API response
8624,Project,In URL file but missing from API,https://mininghub.com/project/barrick-alliance-togi/8624,URL exists but project not found in API response
7240,Project,In URL file but missing from API,https://mininghub.com/project/mutooroo/7240,URL exists but project not found in API response
16948,Project,In URL file but missing from API,https://mininghub.com/project/obley-north/16948,URL exists but project not found in API response
7241,Project,In URL file but missing from API,https://mininghub.com/project/hawsons/7241,URL exists but project not found in API response
7975,Project,In URL file but missing from API,https://mininghub.com/project/havilah/7975,URL exists but project not found in API response
15606,Project,In URL file but missing from API,https://mininghub.com/project/arden/15606,URL exists but project not found in API response
7782,Project,In URL file but missing from API,https://mininghub.com/project/ben/7782,URL exists but project not found in API response
16924,Project,In URL file but missing from API,https://mininghub.com/project/pinnacle-gold--northern-territory/16924,URL exists but project not found in API response
2620,Project,In URL file but missing from API,https://mininghub.com/project/goldarm/2620,URL exists but project not found in API response
16185,Project,In URL file but missing from API,https://mininghub.com/project/rukuru/16185,URL exists but project not found in API response
7212,Project,In URL file but missing from API,https://mininghub.com/project/mcarthur-river/7212,URL exists but project not found in API response
7923,Project,In URL file but missing from API,https://mininghub.com/project/braeside/7923,URL exists but project not found in API response
16813,Project,In URL file but missing from API,https://mininghub.com/project/panhandle/16813,URL exists but project not found in API response
17618,Project,In URL file but missing from API,https://mininghub.com/project/morogoro/17618,URL exists but project not found in API response
7521,Project,In URL file but missing from API,https://mininghub.com/project/cannie/7521,URL exists but project not found in API response
8334,Project,In URL file but missing from API,https://mininghub.com/project/north-dam/8334,URL exists but project not found in API response
16609,Project,In URL file but missing from API,https://mininghub.com/project/doradilla/16609,URL exists but project not found in API response
8873,Project,In URL file but missing from API,https://mininghub.com/project/nuuk/8873,URL exists but project not found in API response
12972,Project,In URL file but missing from API,https://mininghub.com/project/pirenopolis/12972,URL exists but project not found in API response
7067,Project,In URL file but missing from API,https://mininghub.com/project/paulsens/7067,URL exists but project not found in API response
8480,Project,In URL file but missing from API,https://mininghub.com/project/iron-bridge/8480,URL exists but project not found in API response
8861,Project,In URL file but missing from API,https://mininghub.com/project/wonawinta/8861,URL exists but project not found in API response
17777,Project,In URL file but missing from API,https://mininghub.com/project/whitbarrow/17777,URL exists but project not found in API response
6472,Project,In URL file but missing from API,https://mininghub.com/project/hill/6472,URL exists but project not found in API response
7405,Project,In URL file but missing from API,https://mininghub.com/project/yarri/7405,URL exists but project not found in API response
17440,Project,In URL file but missing from API,https://mininghub.com/project/kolari/17440,URL exists but project not found in API response
16235,Project,In URL file but missing from API,https://mininghub.com/project/viper/16235,URL exists but project not found in API response
17696,Project,In URL file but missing from API,https://mininghub.com/project/roe-hills-jv/17696,URL exists but project not found in API response
7520,Project,In URL file but missing from API,https://mininghub.com/project/taylor-rock/7520,URL exists but project not found in API response
8042,Project,In URL file but missing from API,https://mininghub.com/project/zlatno/8042,URL exists but project not found in API response
8546,Project,In URL file but missing from API,https://mininghub.com/project/muckanippie/8546,URL exists but project not found in API response
8836,Project,In URL file but missing from API,https://mininghub.com/project/mt-isa-valley-jv/8836,URL exists but project not found in API response
17456,Project,In URL file but missing from API,https://mininghub.com/project/coolie-coolie-well/17456,URL exists but project not found in API response
8655,Project,In URL file but missing from API,https://mininghub.com/project/nibio/8655,URL exists but project not found in API response
6547,Project,In URL file but missing from API,https://mininghub.com/project/dunlop/6547,URL exists but project not found in API response
16505,Project,In URL file but missing from API,https://mininghub.com/project/gulf/16505,URL exists but project not found in API response
17512,Project,In URL file but missing from API,https://mininghub.com/project/kunene/17512,URL exists but project not found in API response
15666,Project,In URL file but missing from API,https://mininghub.com/project/forrest-wgx-jv/15666,URL exists but project not found in API response
7974,Project,In URL file but missing from API,https://mininghub.com/project/bismarck/7974,URL exists but project not found in API response
16285,Project,In URL file but missing from API,https://mininghub.com/project/box-hole/16285,URL exists but project not found in API response
15821,Project,In URL file but missing from API,https://mininghub.com/project/cullarin-west/15821,URL exists but project not found in API response
17474,Project,In URL file but missing from API,https://mininghub.com/project/mlele/17474,URL exists but project not found in API response
17453,Project,In URL file but missing from API,https://mininghub.com/project/quasi/17453,URL exists but project not found in API response
8827,Project,In URL file but missing from API,https://mininghub.com/project/lower-manitou-sherridon/8827,URL exists but project not found in API response
16905,Project,In URL file but missing from API,https://mininghub.com/project/lefroy-goodyear/16905,URL exists but project not found in API response
16759,Project,In URL file but missing from API,https://mininghub.com/project/canyon/16759,URL exists but project not found in API response
15994,Project,In URL file but missing from API,https://mininghub.com/project/stephens/15994,URL exists but project not found in API response
8299,Project,In URL file but missing from API,https://mininghub.com/project/stargazer/8299,URL exists but project not found in API response
7027,Project,In URL file but missing from API,https://mininghub.com/project/mt-stirling/7027,URL exists but project not found in API response
8301,Project,In URL file but missing from API,https://mininghub.com/project/soo-copper-copper-road/8301,URL exists but project not found in API response
17270,Project,In URL file but missing from API,https://mininghub.com/project/west-arunta/17270,URL exists but project not found in API response
17811,Project,In URL file but missing from API,https://mininghub.com/project/kopa/17811,URL exists but project not found in API response
16713,Project,In URL file but missing from API,https://mininghub.com/project/westminster/16713,URL exists but project not found in API response
8497,Project,In URL file but missing from API,https://mininghub.com/project/kaoko/8497,URL exists but project not found in API response
16273,Project,In URL file but missing from API,https://mininghub.com/project/meekatharra/16273,URL exists but project not found in API response
7545,Project,In URL file but missing from API,https://mininghub.com/project/bulla-park/7545,URL exists but project not found in API response
16560,Project,In URL file but missing from API,https://mininghub.com/project/malbrom/16560,URL exists but project not found in API response
8678,Project,In URL file but missing from API,https://mininghub.com/project/fokolore/8678,URL exists but project not found in API response
8656,Project,In URL file but missing from API,https://mininghub.com/project/tntalo/8656,URL exists but project not found in API response
2498,Project,In URL file but missing from API,https://mininghub.com/project/brenda/2498,URL exists but project not found in API response
13051,Project,In URL file but missing from API,https://mininghub.com/project/quinto-claims/13051,URL exists but project not found in API response
17335,Project,In URL file but missing from API,https://mininghub.com/project/nevada-gold-mines-ngm/17335,URL exists but project not found in API response
17269,Project,In URL file but missing from API,https://mininghub.com/project/hogabert/17269,URL exists but project not found in API response
8090,Project,In URL file but missing from API,https://mininghub.com/project/catuji/8090,URL exists but project not found in API response
7986,Project,In URL file but missing from API,https://mininghub.com/project/doonia/7986,URL exists but project not found in API response
13127,Project,In URL file but missing from API,https://mininghub.com/project/viewsite/13127,URL exists but project not found in API response
3594,Project,In URL file but missing from API,https://mininghub.com/project/cundumbul/3594,URL exists but project not found in API response
16121,Project,In URL file but missing from API,https://mininghub.com/project/junction/16121,URL exists but project not found in API response
7144,Project,In URL file but missing from API,https://mininghub.com/project/buchan/7144,URL exists but project not found in API response
7400,Project,In URL file but missing from API,https://mininghub.com/project/redcastle/7400,URL exists but project not found in API response
16220,Project,In URL file but missing from API,https://mininghub.com/project/palamino/16220,URL exists but project not found in API response
8548,Project,In URL file but missing from API,https://mininghub.com/project/sabeto/8548,URL exists but project not found in API response
16116,Project,In URL file but missing from API,https://mininghub.com/project/andes/16116,URL exists but project not found in API response
8694,Project,In URL file but missing from API,https://mininghub.com/project/blieberg/8694,URL exists but project not found in API response
16964,Project,In URL file but missing from API,https://mininghub.com/project/north-rover/16964,URL exists but project not found in API response
2837,Project,In URL file but missing from API,https://mininghub.com/project/amc/2837,URL exists but project not found in API response
13107,Project,In URL file but missing from API,https://mininghub.com/project/piastri/13107,URL exists but project not found in API response
16181,Project,In URL file but missing from API,https://mininghub.com/project/milenje/16181,URL exists but project not found in API response
17177,Project,In URL file but missing from API,https://mininghub.com/project/lake-mackay/17177,URL exists but project not found in API response
15998,Project,In URL file but missing from API,https://mininghub.com/project/granite-peak/15998,URL exists but project not found in API response
2455,Project,In URL file but missing from API,https://mininghub.com/project/renzy/2455,URL exists but project not found in API response
16179,Project,In URL file but missing from API,https://mininghub.com/project/shevchenkivske/16179,URL exists but project not found in API response
7013,Project,In URL file but missing from API,https://mininghub.com/project/mendooran/7013,URL exists but project not found in API response
8701,Project,In URL file but missing from API,https://mininghub.com/project/copperhead/8701,URL exists but project not found in API response
7730,Project,In URL file but missing from API,https://mininghub.com/project/arunta-west/7730,URL exists but project not found in API response
15853,Project,In URL file but missing from API,https://mininghub.com/project/eyre-peninsula/15853,URL exists but project not found in API response
17334,Project,In URL file but missing from API,https://mininghub.com/project/pueblo-viejo/17334,URL exists but project not found in API response
15587,Project,In URL file but missing from API,https://mininghub.com/project/galaxy-james-bay/15587,URL exists but project not found in API response
6392,Project,In URL file but missing from API,https://mininghub.com/project/american-bulldog/6392,URL exists but project not found in API response
17922,Project,In URL file but missing from API,https://mininghub.com/project/champion/17922,URL exists but project not found in API response
8862,Project,In URL file but missing from API,https://mininghub.com/project/tallandoon/8862,URL exists but project not found in API response
2421,Project,In URL file but missing from API,https://mininghub.com/project/goldcrest/2421,URL exists but project not found in API response
17401,Project,In URL file but missing from API,https://mininghub.com/project/mount-gibson/17401,URL exists but project not found in API response
7336,Project,In URL file but missing from API,https://mininghub.com/project/empress-springs/7336,URL exists but project not found in API response
17848,Project,In URL file but missing from API,https://mininghub.com/project/ohiapae/17848,URL exists but project not found in API response
7527,Project,In URL file but missing from API,https://mininghub.com/project/klondyke/7527,URL exists but project not found in API response
17378,Project,In URL file but missing from API,https://mininghub.com/project/yeti/17378,URL exists but project not found in API response
16340,Project,In URL file but missing from API,https://mininghub.com/project/new-oakleigh/16340,URL exists but project not found in API response
16115,Project,In URL file but missing from API,https://mininghub.com/project/imou/16115,URL exists but project not found in API response
7681,Project,In URL file but missing from API,https://mininghub.com/project/sandstone/7681,URL exists but project not found in API response
8256,Project,In URL file but missing from API,https://mininghub.com/project/west-golden-promise/8256,URL exists but project not found in API response
17047,Project,In URL file but missing from API,https://mininghub.com/project/ulysses/17047,URL exists but project not found in API response
2604,Project,In URL file but missing from API,https://mininghub.com/project/hope-brook/2604,URL exists but project not found in API response
16521,Project,In URL file but missing from API,https://mininghub.com/project/yandicoogina/16521,URL exists but project not found in API response
7972,Project,In URL file but missing from API,https://mininghub.com/project/moray-central/7972,URL exists but project not found in API response
